0,1,2,3,4,5,6,7,short_name,long_name,nationality_name,PFoot_Right
0.9589760676925798,0.3102859107924385,0.7432524865629381,0.5220227852023762,0.8263438364922239,0.20279284172404757,0.33921487037037,0.48293610197235143,K. Mbappé,Kylian Mbappé Lottin,France,1
0.8856429928809149,0.4939944511966311,0.8256728959703543,0.7564333194468937,0.8093964506774163,0.13761994166470037,0.33647759042272274,0.5700364808877949,E. Haaland,Erling Braut Haaland,Norway,0
0.9825162869705938,0.4718831002198293,0.7840672760026122,0.3055215882808855,0.47609082378258927,0.3108969806982801,0.4639624391901793,0.5795456722284317,K. De Bruyne,Kevin De Bruyne,Belgium,1
0.9629905224608813,0.2028117241702619,0.7679712852706235,0.3023238803308115,0.5860540130823484,0.47437273842447203,0.42534430573735765,0.37996751059592415,L. Messi,Lionel Andrés Messi Cuccittini,Argentina,0
0.9337518871035364,0.39891561012820653,0.8396580819539283,0.592191061576347,0.664747142350052,0.396044372429844,0.4056527382959543,0.3662549298775496,K. Benzema,Karim Benzema,France,1
0.9425996737126618,0.4370464712860951,0.8477641360214302,0.597205438256725,0.6903682990940416,0.451765090445238,0.3464222136472069,0.5002805486427837,R. Lewandowski,Robert Lewandowski,Poland,1
0.15734921849662803,0.5055441537652903,0.9161467512919907,0.23527248088831348,0.8206404452837577,0.18599543587285355,0.5813342492151394,0.450338972866005,T. Courtois,Thibaut Nicolas Marc Courtois,Belgium,0
0.9381723401801576,0.49136488122627664,0.851622911950645,0.5939648109743784,0.589402959650632,0.29921739117508417,0.27091449694691494,0.521922766308672,H. Kane,Harry Kane,England,1
0.8943463291306919,0.22589372439247415,0.631625450017646,0.4308183383072004,0.7709685575940348,0.1740465995891811,0.41377530839659626,0.41856295935543675,Vini Jr.,Vinícius José Paixão de Oliveira Júnior,Brazil,1
0.22322973657263123,0.5183530187167513,0.9509786622069321,0.23093132031344085,0.8094972624780976,0.15439674596514102,0.3662740415725374,0.5583562332909389,Alisson,Alisson Ramsés Becker,Brazil,1
0.8863611744418296,0.7499564713386992,0.7131083189168197,0.40022636150075985,0.4945862688256588,0.21136923001365004,0.28457747707969194,0.6089127058246768,Rodri,Rodrigo Hernández Cascante,Spain,1
0.7462757891661205,0.9172457720711065,0.5716571990849891,0.36412064769000313,0.6682519297162681,0.2399418690924831,0.26081759129104687,0.4138586336199385,Rúben Dias,Rúben dos Santos Gato Alves Dias,Portugal,1
0.9510878630723176,0.2281871819897022,0.7211053275462398,0.33291660924996047,0.623696549636711,0.3635012074589136,0.3854540480170291,0.36962930688057494,Neymar Jr,Neymar da Silva Santos Júnior,Brazil,1
0.21708394153222965,0.5104754348164826,0.9336412298252421,0.12433489668978653,0.7405047062717486,0.2170261259795826,0.3527219882191826,0.5429714938101332,M. ter Stegen,Marc-André ter Stegen,Germany,1
0.8995534476120867,0.7687701804639302,0.7422116732172297,0.3741749034431798,0.5303921342981245,0.3342272863977408,0.37927303495999093,0.6835880244601472,Casemiro,Carlos Henrique Venancio Casimiro,Brazil,1
0.8209494555155781,0.8715957179170573,0.7089687543010128,0.45875560760778195,0.6403715710219002,0.22930208106624247,0.4886069490963493,0.5829289707777735,V. van Dijk,Virgil van Dijk,Netherlands,1
0.9485176266868598,0.3337018983256368,0.7330744388694781,0.3548254333398702,0.739102552642521,0.36423029258912165,0.42922074415577177,0.43826957518741244,M. Salah,Mohamed Salah Ghaly,Egypt,0
0.9500015355689226,0.5998603975273528,0.6586697742836933,0.3250464855131701,0.6342049276656636,0.13632886422145202,0.4561814363758106,0.6850014789131218,F. Valverde,Federico Santiago Valverde Dipetta,Uruguay,1
0.8594703460799711,0.41331087798770316,0.7184800491968537,0.652813937888473,0.8583764458566441,0.2553481803441662,0.2743470180513793,0.468130313576108,V. Osimhen,Victor James Osimhen,Nigeria,1
0.2887312627492789,0.4647345472021269,0.9273364397563637,0.1491937383819238,0.8592257679111104,0.17125899981873655,0.40897536143629565,0.6058769092929792,Ederson,Ederson Santana de Moraes,Brazil,0
0.9591848737504067,0.5929224279694009,0.6492918706640953,0.2092615128584494,0.5598250340940407,0.3127444623785004,0.3929495863180197,0.6395125281862075,J. Kimmich,Joshua Walter Kimmich,Germany,1
0.9825732474431381,0.4245748768520267,0.7410477808106424,0.3474269892553801,0.640940070820408,0.4032152096882406,0.3563654438719047,0.56789485655332,A. Griezmann,Antoine Griezmann,France,0
0.19390878771899012,0.511082360972017,0.8767576676733894,0.13406648520017345,0.8405210613298284,0.22694759862746575,0.450111455062965,0.5268338064479382,J. Oblak,Jan Oblak,Slovenia,1
0.9797190906540336,0.4704063782455134,0.7154673918249974,0.2788508013179303,0.4866445933701333,0.31767600692071896,0.3222619346956519,0.6355850287573127,Bruno Fernandes,Bruno Miguel Borges Fernandes,Portugal,1
0.9583910819668966,0.42218351032169155,0.6191422033474623,0.1422845752215145,0.5402865966189585,0.33294498804236056,0.31408061466600823,0.445615260267024,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,Portugal,0
0.9254109609487775,0.3799109642529307,0.6423265423710861,0.23922912570796628,0.4882270076857608,0.2241156136143472,0.3379964630511414,0.5803787105658862,M. Ødegaard,Martin Ødegaard,Norway,0
0.9372372295720526,0.5897130913654645,0.6180541708394318,0.2583468796714381,0.667125160465863,0.20700072361766145,0.3999671538483157,0.5396516294605506,F. de Jong,Frenkie de Jong,Netherlands,1
